user_id,item_list
0,7547  7703  2405  9911  572  7310  6166  399  1425  516
1,8685  6348  13733  11149  13766  9812  14748  572  672  2644
2,29656  22714  22589  4851  4464  10198  29601  16331  16363  16317
3,25140  25643  9742  6827  11753  3671  16956  26259  4185  3207
4,9812  18647  3454  3410  1180  18304  28983  15729  15694  4348
5,15648  15653  186  15654  211  15909  7063  2  15754  14880
6,15887  6822  6348  3381  4137  3670  6321  672  11753  3155
7,805  9079  866  2676  211  5349  583  804  807  5360
8,627  2837  186  211  399  2916  675  2859  7780  6915
9,49  4142  7054  11753  12600  14891  627  9363  399  5359
10,9919  11880  11806  4253  8812  109  8593  14891  5359  478
11,16384  13149  13570  16355  2205  2165  13187  16336  13607  16331
12,10110  2861  2913  8781  3821  3812  11353  9866  3844  18580
13,12495  2519  12472  11335  7888  11359  11370  11343  11347  9744
14,7857  6226  6865  6151  9944  11084  5405  10225  5462  10153
15,4261  25587  1054  12813  3073  2782  19026  1159  18783  29504
16,14950  9856  310  15456  19178  18645  6835  21940  18595  9852
17,627  7063  7018  2859  2591  211  2496  6356  2837  117
18,14982  14888  9375  9445  13733  516  3388  28573  15114  14989
20,4253  3155  9622  3365  8933  884  15887  5741  14891  8760
21,6206  17010  16912  6179  6164  6446  6169  6172  6167  3431
22,19293  11607  17636  15435  8659  19184  276  490  12632  18572
23,18831  15482  17732  17733  18832  19114  18833  18839  5073  13755
24,8768  11611  11756  11560  11557  11550  11510  11609  4225  53
25,22387  2591  9622  6408  23989  6414  3365  6474  23720  8625
26,3173  3159  14950  3161  3160  3175  4062  3163  13751  2782
27,21617  3152  11919  13733  9911  711  15890  2906  31233  15601
28,13811  13816  9203  30670  23729  7522  4709  4168  17310  19751
29,6981  13728  16945  13727  3058  3074  13766  3381  6976  2496
30,13881  13880  16964  6952  13837  12477  13860  12481  13789  7573
31,6179  17009  6204  9153  16900  399  6178  6177  7228  9162
32,239  14159  9639  2936  9178  3086  15796  9181  3239  8796
33,11152  6321  4489  4253  2609  8632  8631  4249  15887  5741
34,30463  22444  2738  6124  22945  13598  17150  21185  17169  2730
35,13015  29000  2780  12719  3057  2701  1036  12157  19122  15287
36,18970  23221  454  19479  2687  28600  12714  19055  19034  23271
37,1793  1788  1792  1809  1810  1811  10652  12843  1791  12946
38,276  17565  527  19185  19293  19184  409  4309  475  290
39,14891  14982  15957  14888  3055  5359  19213  6822  14989  11966
40,12598  2782  8545  3342  3135  9446  6873  2540  9866  186
41,7172  11161  11152  7169  7163  4280  7171  7164  7170  7174
42,3128  3130  3131  3022  2785  2496  627  2782  2655  9812
43,14924  15818  116  9924  186  15688  9922  2916  2782  2496
44,13684  698  8904  6966  8923  8665  15591  4224  13842  13841
45,17628  11753  2961  4142  6822  9858  2  211  19176  15139
46,26527  25818  25192  27889  20414  20735  22692  1154  34344  21367
47,2836  2837  186  2566  2791  2892  2782  3934  15513  2783
48,6414  11151  6474  9637  11150  11152  3357  11154  612  3395
49,6971  4185  7213  15925  15517  11960  3670  3129  11973  15513
50,10386  5605  5603  10072  10102  10036  5604  4839  10013  9992
51,4276  6474  7493  8661  15491  7129  7128  42  11153  4062
52,18831  18833  17638  18839  6853  9929  6845  6373  6499  11985
53,2988  3064  3122  3120  2982  18783  2541  3342  19118  18622
54,5039  18964  15470  16285  23219  3106  8851  19034  8867  15451
55,5359  15606  14748  798  2572  6822  4253  15731  3468  7782
56,99  7  7480  17720  17722  7221  13751  17716  7151  7481
57,10116  2638  10248  4659  8671  3215  1965  5511  4078  4077
58,3671  4185  11740  6935  10016  6931  11595  3638  10515  9938
59,6281  9178  131  15796  171  9181  11823  2936  9191  190
60,9446  5741  8589  4224  8658  7048  2591  2652  15223  3362
61,2784  3822  186  2837  3038  15645  2577  28722  6358  46
62,3670  18342  1520  14748  3468  4642  4141  5559  5920  9742
63,2652  8678  9399  2678  4195  2568  8757  9371  8610  8591
66,11150  11154  9446  11161  2591  9622  53  8591  17648  11151
67,4319  3342  2591  3645  1  4126  9240  5938  6942  7925
68,11174  11150  11393  983  2522  536  11329  13785  11447  11335
69,7232  7172  7164  7176  14891  13700  3346  7218  7181  7300
70,22589  6408  4853  21265  13215  4275  4764  6414  13326  6474
71,25585  5177  21632  23244  20814  17768  29907  9316  24338  22941
72,2040  36337  6083  23819  36989  1828  3295  33086  1660  14142
73,4142  456  3846  3765  18351  12841  3177  7121  5819  50
74,11147  15451  14891  15470  4914  22951  5054  11151  3098  115
75,11306  7049  13751  11152  7032  3074  7637  14107  15278  3063
76,2638  7937  4915  4313  4844  9109  11955  3203  11961  4826
77,54  21123  31096  227  15097  109  13252  15287  1873  9890
78,4280  4062  5690  15703  15491  9111  17648  5352  939  7624
79,1718  3902  9786  369  10487  5359  7063  370  22376  7095
80,28808  28809  28806  17263  31115  17323  9733  558  1690  23006
81,10105  3976  928  8619  11150  929  11154  4280  4000  11161
82,6652  6855  10012  6856  15616  6852  15501  24355  6853  6845
83,29391  29348  29347  7706  29416  29401  5167  29287  29366  28631
84,16040  535  15451  18830  22951  6443  15482  18831  17732  16095
85,9123  9128  6489  2668  1829  6788  10365  33461  7807  39
86,9880  54  10444  9881  551  3014  10455  22589  14106  6363
87,26284  26303  26527  27117  20414  27600  27985  28221  28130  26451
88,11150  11152  11151  399  4280  2676  3074  117  2496  450
89,9890  11186  11150  18821  3016  9885  10446  2528  11151  15202
90,22951  17648  4110  4693  2522  9352  7129  2523  535  7128
91,928  2524  21453  2525  2520  2519  11150  11306  2527  21428
92,15532  29946  29914  28793  29938  29563  226  31415  5422  28789
93,595  8356  8801  612  7998  11188  2040  29332  2181  10198
94,10691  10593  10795  7222  7481  10550  7482  10851  7221  7151
95,536  4111  36  10495  4185  8  1985  7201  1975  14135
96,7662  13154  7661  7804  12544  30559  945  1678  1926  16536
97,27117  25958  10094  26526  10029  10120  26303  10185  26153  27889
98,10619  11343  6168  9087  10558  13836  7150  11298  11359  3160
99,11152  11161  4280  4224  11922  11153  5436  8564  4062  6248
100,5176  23126  6822  23253  23224  23215  5243  23225  23190  11300
101,9622  7049  3074  12472  16956  2591  12474  3083  7423  7422
102,11829  11864  9264  11645  387  4853  9191  3671  3062  4584
103,11084  12875  11382  12474  11414  10739  11150  7948  11082  9971
104,13355  7636  15586  9622  2609  3697  29162  6321  13343  705
105,6678  6676  6853  6373  7783  6652  6679  6378  2572  2626
106,811  805  819  843  9087  946  849  4142  253  422
107,21428  19209  29030  11501  19108  9775  21432  6348  8505  11502
108,21920  11183  21919  21924  11149  15482  17732  18830  15481  387
109,15457  15775  2591  15496  4137  15870  3412  6577  15821  3057
110,3697  5741  8569  9248  9399  6321  9773  6840  5749  4224
111,6503  6378  6849  15349  18653  6344  14028  6387  14120  19889
113,9295  4185  4316  2572  1  11161  9446  22339  4696  9241
114,4481  5436  2568  15957  2609  10084  870  2676  7230  8557
115,14066  5054  11378  12481  12474  14031  12477  15653  11147  14032
116,4811  94  6790  9338  8584  117  18629  7656  1917  4141
117,5511  6192  11411  2634  6193  14737  9297  55  5920  9446
118,6277  6226  6278  6653  6667  6656  6662  8755  6654  6864
119,11379  11396  1117  11412  489  485  11390  11430  427  488
120,5647  18144  10538  7542  5648  6125  15771  21038  1  6593
121,9191  9181  9178  9190  15766  9214  31529  6367  9266  6842
122,29626  3480  7472  8743  3062  21514  5422  14768  5636  4255
123,31990  31531  24340  31528  6753  35403  6758  11714  6755  31729
124,17862  17872  17810  17912  17816  16679  17997  29963  17953  16671
125,17537  9659  29368  26105  22747  21422  17562  19031  28920  23222
126,6178  11152  11161  9908  130  11910  7028  16905  9744  14991
127,6380  1075  1579  6822  23711  2188  3540  20868  23357  18647
128,6169  99  6167  7888  6731  3062  8806  11149  6178  28722
129,14843  6348  8658  13005  15223  3381  15215  6822  15208  15677
130,8026  2346  8065  2356  9704  23021  23669  8056  29200  7303
