user_id,item_list
0,"[20325, 27779, 17621, 26688, 7322, 18404, 10738, 10231, 7573, 185]"
1,"[28536, 25275, 220, 5350, 37647, 10517, 24949, 240, 8887, 3957]"
2,"[23444, 23914, 27788, 1085, 456, 29300, 6615, 10662, 30192, 27504]"
3,"[29701, 185, 26765, 28122, 28094, 37254, 1487, 220, 15832, 13764]"
4,"[37237, 33372, 35422, 34004, 32648, 10785, 28915, 26595, 35111, 748]"
5,"[27656, 15661, 10741, 28807, 14513, 35710, 36282, 19661, 29390, 20864]"
6,"[30885, 25270, 32317, 37149, 28766, 9327, 23387, 4954, 13363, 29202]"
7,"[20354, 10193, 19226, 17545, 7728, 17580, 35143, 13185, 27656, 28379]"
8,"[10337, 3755, 10517, 18230, 30963, 29006, 22079, 28676, 15956, 9688]"
9,"[34879, 23834, 8879, 32787, 22049, 20534, 14261, 14363, 17046, 9871]"
10,"[36969, 31720, 34010, 10900, 37203, 21894, 14433, 35359, 5693, 33093]"
11,"[25555, 34879, 24921, 15595, 19226, 28013, 34457, 32865, 13294, 28825]"
12,"[35472, 36784, 27236, 23004, 33346, 2901, 15772, 23725, 7214, 10142]"
13,"[9688, 24349, 13700, 29072, 16579, 266, 37626, 35893, 32474, 19380]"
14,"[73, 2449, 28280, 11508, 14019, 12491, 33031, 11372, 1534, 16243]"
15,"[29966, 26595, 37789, 10979, 772, 26087, 3708, 23357, 10557, 2485]"
16,"[29006, 8484, 4498, 34447, 25137, 10635, 14211, 26837, 4063, 9714]"
17,"[17657, 5359, 29109, 17184, 12181, 32123, 11040, 19028, 19446, 31786]"
18,"[37310, 33843, 13683, 9395, 10785, 14211, 14767, 4087, 14201, 35559]"
20,"[11295, 18132, 4758, 15199, 5640, 15299, 8484, 27946, 4864, 14925]"
21,"[20354, 19226, 30083, 17412, 31858, 22668, 23800, 5851, 240, 12871]"
22,"[30080, 15340, 11711, 27096, 1094, 26143, 31018, 31946, 27668, 31519]"
23,"[12014, 3987, 18882, 30083, 33655, 35274, 6559, 9452, 17741, 19446]"
24,"[17811, 16310, 18474, 2934, 26248, 27395, 36582, 11525, 28871, 35980]"
25,"[33326, 18734, 17661, 18136, 3612, 11261, 35834, 37666, 26690, 23834]"
26,"[29701, 20354, 13777, 28122, 3374, 3563, 15832, 28094, 814, 22163]"
27,"[17885, 18456, 8639, 31211, 7213, 29098, 25134, 21237, 36282, 36536]"
28,"[14564, 18842, 24587, 29332, 5866, 73, 34048, 14788, 26099, 7081]"
29,"[17591, 24154, 34990, 24604, 21492, 10999, 30766, 21509, 29978, 11769]"
30,"[10512, 35472, 24150, 7297, 35800, 2768, 23725, 36267, 29332, 33346]"
31,"[17885, 31211, 18066, 36536, 13170, 5693, 17810, 28816, 37719, 26103]"
32,"[945, 7630, 28959, 951, 20503, 8656, 10337, 29299, 32489, 11535]"
33,"[18160, 951, 34879, 6143, 4544, 23595, 18489, 28125, 7344, 24921]"
34,"[33813, 9611, 24819, 21764, 1772, 13202, 3612, 35810, 34557, 24321]"
35,"[17621, 34454, 20470, 30766, 17810, 10469, 17819, 24668, 37626, 30080]"
36,"[15679, 10501, 9688, 10273, 21280, 15956, 17545, 20612, 21925, 10557]"
37,"[4103, 17885, 20606, 19858, 891, 9222, 956, 37919, 22589, 17665]"
38,"[21421, 4382, 28280, 13028, 24619, 37088, 37042, 13371, 22622, 18743]"
39,"[24700, 9871, 33093, 30622, 2497, 4638, 23387, 813, 25270, 31200]"
40,"[32730, 35555, 29195, 9472, 22706, 17559, 19180, 16108, 37919, 10135]"
41,"[10193, 28379, 15355, 30786, 22671, 13711, 35702, 12234, 20067, 28807]"
42,"[34879, 1487, 8710, 18404, 3563, 13742, 13553, 34351, 29701, 25137]"
43,"[33326, 33862, 18734, 3843, 3572, 12553, 27760, 26932, 16670, 35519]"
44,"[6032, 17540, 11863, 20916, 28122, 185, 26765, 32233, 891, 1026]"
45,"[6460, 21981, 8629, 24764, 8783, 18335, 37719, 11109, 13181, 1251]"
46,"[2822, 3858, 26103, 24013, 8073, 13359, 6066, 30080, 27218, 1951]"
47,"[73, 22360, 7800, 7891, 9379, 28915, 16851, 15618, 15133, 33031]"
48,"[29160, 20354, 30083, 11525, 22869, 34313, 23066, 9327, 37060, 338]"
49,"[24700, 27788, 16423, 30257, 19259, 36369, 17713, 22279, 3544, 20919]"
50,"[27096, 22360, 7800, 9379, 17227, 2996, 11819, 20688, 31055, 33996]"
51,"[12360, 15215, 32088, 10500, 8749, 11112, 7297, 19174, 16034, 11769]"
52,"[13579, 24890, 16065, 17146, 2869, 14224, 29577, 30633, 22771, 37598]"
53,"[9069, 14699, 30573, 32319, 23523, 17989, 17239, 165, 11703, 34201]"
54,"[10421, 9788, 12478, 32767, 21228, 7397, 18480, 31140, 13854, 1795]"
55,"[17811, 16310, 19713, 10347, 28720, 5706, 5604, 27395, 32542, 32281]"
56,"[25555, 20440, 28715, 30786, 5640, 17092, 28020, 25961, 18167, 25148]"
57,"[30748, 36516, 25202, 15999, 18734, 18611, 38024, 28591, 11501, 37290]"
58,"[17583, 10999, 26087, 22481, 9508, 27887, 21058, 1345, 9162, 16408]"
59,"[24949, 37566, 25555, 5156, 6126, 26595, 6125, 15137, 11093, 1249]"
60,"[19380, 17811, 17146, 21081, 31445, 13579, 7972, 30778, 36929, 2153]"
61,"[34313, 17801, 22869, 2934, 29160, 4953, 11525, 34351, 12308, 3481]"
62,"[18734, 7826, 6610, 20534, 31000, 861, 556, 11501, 10259, 10297]"
63,"[23834, 1155, 22049, 37059, 18882, 14261, 9275, 20534, 4670, 17741]"
66,"[32787, 376, 13202, 9871, 29910, 23256, 20353, 27689, 26137, 31951]"
67,"[24902, 35201, 15896, 23633, 6023, 36474, 9250, 1098, 4997, 24702]"
68,"[30976, 116, 10193, 10377, 619, 25249, 7481, 12308, 91, 18167]"
69,"[20325, 33026, 37626, 20236, 29071, 17621, 36757, 5163, 15143, 18500]"
70,"[4130, 37713, 33237, 33996, 28807, 18335, 11516, 20067, 38057, 6821]"
71,"[24238, 12014, 15875, 30083, 3374, 2718, 20354, 36883, 1040, 33279]"
72,"[34640, 6969, 28782, 28581, 26595, 37237, 4754, 10263, 28216, 15498]"
73,"[15590, 33813, 24294, 8816, 32622, 24297, 3612, 17385, 18132, 17752]"
74,"[17545, 25137, 9688, 25992, 29390, 3563, 2773, 6494, 26927, 20354]"
75,"[37150, 28536, 6320, 24949, 27192, 33006, 17667, 4726, 31140, 32400]"
76,"[26009, 16702, 11416, 33775, 21505, 997, 8008, 1737, 24504, 12606]"
77,"[30132, 22481, 1345, 25261, 2732, 2706, 28693, 25780, 7471, 9544]"
78,"[29998, 16868, 28472, 36003, 24362, 27771, 17989, 37711, 29966, 30573]"
79,"[33862, 6822, 12308, 8283, 15030, 31430, 34879, 37426, 17092, 29067]"
80,"[21764, 19446, 19849, 13240, 35274, 30630, 5359, 29098, 35769, 33029]"
81,"[8749, 7297, 32009, 19343, 12106, 34447, 31804, 19873, 28776, 19533]"
82,"[19794, 32488, 67, 19398, 1135, 34416, 58, 22350, 6131, 31236]"
83,"[15590, 27567, 14196, 8816, 17752, 29093, 23963, 33681, 23834, 18474]"
84,"[20325, 24722, 28122, 34879, 30190, 27779, 13787, 20916, 22759, 18404]"
85,"[17659, 35201, 24902, 22285, 34835, 1320, 14040, 3917, 7800, 19283]"
86,"[37378, 24700, 21764, 1524, 32091, 62, 2671, 8627, 5922, 4147]"
87,"[13775, 32865, 37745, 7617, 24760, 10257, 27609, 11535, 31236, 8656]"
88,"[19418, 23545, 30781, 6023, 34429, 30165, 32767, 31254, 4702, 33579]"
89,"[10406, 35842, 14224, 37964, 27703, 24546, 11229, 27042, 24890, 30240]"
90,"[28536, 37789, 31720, 33093, 25688, 36969, 20931, 37647, 29207, 6508]"
91,"[28849, 23108, 14852, 25432, 33434, 19790, 7391, 18686, 20821, 14623]"
92,"[24150, 35472, 33346, 2996, 10512, 7297, 27096, 37859, 9964, 538]"
93,"[7800, 17580, 10496, 20148, 2996, 36999, 28596, 21505, 26009, 4425]"
94,"[19283, 1307, 7297, 20077, 17472, 30999, 18179, 13446, 5351, 19026]"
95,"[11535, 21514, 10501, 13512, 29547, 11783, 29299, 7630, 4843, 25688]"
96,"[33346, 37626, 25432, 35069, 12607, 36105, 7773, 11352, 37151, 21547]"
97,"[6969, 19533, 37319, 4407, 35802, 6725, 23633, 22739, 29160, 14918]"
98,"[23108, 28849, 36065, 11074, 35836, 12857, 3388, 5373, 27017, 12105]"
99,"[5547, 37626, 5502, 20324, 37170, 13775, 22310, 17210, 4503, 12330]"
100,"[23502, 21943, 17227, 4149, 34259, 35980, 18474, 3349, 34227, 2425]"
101,"[33152, 14019, 2996, 30999, 34227, 25567, 16325, 15038, 28068, 16722]"
102,"[4112, 21943, 33026, 2373, 33963, 37417, 34718, 5878, 20325, 32767]"
103,"[24238, 33031, 24921, 25023, 28906, 11319, 10135, 35857, 23461, 37310]"
104,"[556, 37096, 16770, 9917, 7115, 23588, 9226, 20272, 11835, 1520]"
105,"[10999, 13202, 18683, 17771, 20435, 2706, 8783, 35803, 21058, 22481]"
106,"[36576, 11760, 8450, 29050, 28472, 4382, 31200, 20931, 15980, 17911]"
107,"[3755, 29006, 34879, 15065, 2761, 21750, 28676, 1321, 20354, 5536]"
108,"[35201, 13846, 25729, 17659, 28693, 27967, 23804, 19647, 33397, 34468]"
109,"[8514, 33843, 27912, 12211, 29018, 14767, 2951, 18151, 7826, 14918]"
110,"[33478, 24700, 37400, 9871, 19461, 5793, 30729, 5959, 11735, 12682]"
111,"[30083, 20354, 22142, 240, 28108, 11535, 5851, 220, 28052, 15660]"
113,"[27656, 28288, 7728, 23132, 17768, 25954, 9916, 29207, 35813, 33852]"
114,"[3774, 12738, 29199, 619, 34879, 6100, 28948, 25844, 20514, 6610]"
115,"[17591, 15590, 21252, 27567, 7214, 30766, 23633, 25133, 24702, 30063]"
116,"[35111, 6543, 3917, 5903, 31813, 33372, 15679, 37237, 25506, 16939]"
117,"[37169, 27797, 35347, 8450, 36576, 26640, 6258, 34504, 1059, 17583]"
118,"[6320, 7611, 33468, 16403, 35297, 34866, 23109, 24949, 11703, 37566]"
119,"[28908, 5350, 35144, 12227, 8783, 20435, 37275, 19962, 27366, 15595]"
120,"[12234, 8783, 7341, 18309, 7782, 6125, 27314, 21973, 1001, 3220]"
121,"[8450, 19418, 28536, 32317, 26675, 10883, 16453, 6855, 13178, 3630]"
122,"[34647, 16702, 26697, 30640, 20514, 25031, 19515, 28828, 27537, 20491]"
123,"[2461, 23108, 28849, 32950, 29006, 28880, 23480, 34863, 2308, 1230]"
124,"[8684, 29975, 6969, 8514, 37085, 6305, 16541, 36267, 4997, 6780]"
125,"[52, 26595, 11502, 5990, 28335, 4272, 26087, 32719, 15136, 4058]"
126,"[1085, 27504, 29998, 25530, 28908, 34624, 23444, 5608, 12227, 34339]"
127,"[9688, 33326, 2899, 27760, 33980, 35764, 12553, 18734, 26565, 24459]"
128,"[8783, 38057, 37237, 34367, 6460, 4172, 21981, 6969, 25945, 22149]"
129,"[5744, 28472, 29050, 11906, 24243, 27299, 37711, 21808, 12851, 27591]"
130,"[14564, 18842, 21584, 14019, 17369, 24150, 27106, 37452, 15038, 17318]"
131,"[21492, 14200, 6857, 15215, 27656, 33674, 11621, 12327, 23168, 34454]"
132,"[4382, 37088, 14835, 10337, 612, 21421, 21980, 27703, 951, 9493]"
133,"[20770, 18179, 18648, 28551, 37452, 9366, 11501, 19537, 19283, 31503]"
134,"[13028, 10676, 24949, 15050, 1166, 28594, 8765, 14134, 34726, 18759]"
135,"[18734, 29054, 7297, 15684, 6611, 8749, 35355, 37685, 32947, 27409]"
136,"[18474, 25555, 1487, 36627, 28122, 37468, 4726, 22142, 17092, 15851]"
137,"[18474, 23963, 24970, 29237, 11040, 32123, 17752, 22049, 14196, 28871]"
139,"[34692, 29165, 12211, 22221, 29298, 28648, 6969, 31117, 37085, 22739]"
140,"[25745, 1226, 20079, 612, 18841, 25241, 1653, 18743, 28518, 16154]"
141,"[23108, 6131, 34416, 2461, 31236, 12688, 7573, 19794, 36051, 18218]"
142,"[24949, 2348, 21980, 22156, 4731, 34259, 11703, 27795, 23674, 6320]"
143,"[14520, 13512, 18996, 19000, 3775, 35285, 24919, 1111, 19180, 24024]"
144,"[34096, 28720, 4257, 24297, 34148, 13970, 20800, 10347, 10283, 20131]"
145,"[35674, 31552, 15199, 27532, 13201, 20470, 21953, 2483, 10606, 32203]"
147,"[24700, 27788, 3544, 8577, 10196, 26747, 23695, 32910, 36369, 25227]"
148,"[240, 4954, 25270, 29768, 3228, 21953, 37941, 36536, 18364, 9327]"
149,"[16702, 12606, 21981, 12234, 11416, 14752, 26009, 4172, 23804, 10193]"
150,"[28685, 4275, 24921, 11319, 3221, 5359, 5026, 10135, 29842, 3544]"
151,"[468, 22706, 32675, 16083, 1372, 1504, 16285, 20585, 24238, 1771]"
152,"[26595, 18111, 30921, 23804, 17659, 16702, 3971, 37451, 4172, 3763]"
153,"[15215, 8514, 9899, 10500, 28110, 29298, 36159, 12211, 2263, 24268]"
154,"[14520, 73, 5423, 24890, 13181, 29335, 12658, 31235, 37919, 8670]"
155,"[13363, 15590, 9327, 22106, 27395, 34052, 19840, 29287, 4864, 23641]"
156,"[10999, 24604, 18683, 26087, 14264, 772, 16375, 23288, 8749, 12553]"
158,"[27798, 37237, 29390, 32195, 34367, 3905, 1345, 19957, 1000, 36634]"
159,"[13214, 32628, 997, 18489, 2523, 7025, 28642, 29510, 23357, 32319]"
160,"[32730, 17941, 23595, 20585, 24024, 16073, 31367, 30096, 21005, 34201]"
161,"[10676, 29799, 12688, 21421, 29941, 35842, 2604, 951, 25555, 23595]"
162,"[32094, 27779, 611, 20325, 30080, 2822, 1900, 6024, 8073, 12003]"
163,"[23819, 13934, 18456, 4954, 9116, 35201, 18132, 11994, 22279, 25270]"
164,"[29998, 23444, 21292, 34339, 25530, 6441, 36003, 27504, 1307, 7764]"
165,"[31000, 14779, 20534, 7826, 33273, 26004, 33255, 16073, 23791, 16657]"
166,"[29941, 17120, 34416, 2869, 8916, 17621, 31236, 4544, 20325, 27779]"
168,"[28720, 20630, 21492, 15199, 23132, 34454, 12389, 30766, 17243, 8450]"
170,"[14520, 4084, 3250, 37964, 22994, 2153, 31929, 19380, 17146, 17883]"
171,"[8875, 34043, 34891, 3544, 456, 15527, 25693, 10973, 6615, 6485]"
172,"[20916, 17243, 21492, 28720, 1014, 14564, 33343, 35355, 18353, 15036]"
173,"[6023, 21949, 4702, 33579, 30902, 21495, 10366, 36854, 1509, 21335]"
174,"[20354, 19226, 22668, 24837, 30083, 2060, 17741, 24284, 31858, 2670]"
175,"[37626, 24013, 33237, 27779, 32813, 20325, 8135, 2822, 16082, 17810]"
176,"[14767, 7543, 35224, 2088, 13201, 8008, 2297, 37964, 22994, 28788]"
177,"[30096, 27703, 7201, 3423, 24243, 29029, 4112, 29799, 530, 32730]"
178,"[26595, 37451, 23357, 28424, 29966, 16100, 9303, 18111, 11392, 3763]"
179,"[27656, 360, 30378, 12360, 18841, 6131, 5959, 15199, 1230, 13399]"
180,"[32146, 21973, 37310, 4275, 4103, 13817, 36372, 36065, 14347, 28849]"
181,"[37170, 32136, 19591, 22310, 33698, 29390, 15636, 33996, 29780, 3456]"
182,"[31858, 36282, 240, 35803, 6354, 34436, 10573, 18592, 34871, 26927]"
183,"[16310, 4726, 22142, 28108, 30083, 32400, 28959, 13777, 20354, 7408]"
184,"[16310, 29701, 18329, 2122, 31790, 24238, 1321, 31948, 3374, 20339]"
185,"[9688, 29399, 12090, 2745, 22577, 21925, 26293, 16579, 27860, 7179]"
186,"[23641, 8280, 15590, 17657, 23714, 28719, 35274, 6023, 8529, 32523]"
187,"[18474, 15590, 27395, 23963, 8064, 21511, 9327, 35980, 24238, 11525]"
188,"[19858, 9961, 956, 21774, 23805, 25023, 32523, 30798, 16628, 17489]"
189,"[34692, 21121, 21492, 9776, 22668, 10153, 37789, 31822, 30431, 37149]"
190,"[18456, 17885, 29774, 11863, 15985, 16333, 14386, 891, 694, 24297]"
191,"[23703, 16883, 14564, 24880, 9885, 29006, 18842, 16048, 10531, 32902]"
192,"[18329, 1710, 28423, 9472, 31785, 26212, 30406, 16310, 7344, 32536]"
193,"[16624, 25555, 34457, 28350, 2461, 15264, 13935, 20259, 6143, 32088]"
194,"[26595, 35111, 8514, 8443, 19533, 25055, 37237, 5085, 24902, 12222]"
195,"[33996, 7166, 23307, 34367, 29390, 11673, 27314, 11109, 147, 19288]"
196,"[20325, 30080, 266, 32357, 1921, 32813, 33237, 21694, 36969, 27779]"
197,"[25555, 2348, 2420, 36777, 35297, 6143, 7782, 16869, 213, 22481]"
198,"[8684, 12823, 18734, 26540, 30080, 17811, 21694, 27409, 35800, 37713]"
199,"[37169, 17583, 30766, 8743, 7214, 16408, 17591, 14686, 23324, 24126]"
200,"[26595, 26640, 29966, 37169, 34033, 24902, 3917, 973, 36576, 7291]"
201,"[2822, 27218, 8135, 3474, 36469, 34277, 7702, 2347, 22249, 4584]"
202,"[8629, 21981, 6460, 28807, 37237, 20658, 35781, 34367, 21973, 5126]"
203,"[32719, 9625, 36576, 26595, 5167, 8749, 52, 9395, 23905, 11112]"
204,"[8749, 32009, 19343, 29164, 35355, 14264, 14564, 25196, 37400, 21492]"
205,"[27798, 30080, 26640, 5903, 26143, 26748, 29573, 11356, 3905, 17819]"
206,"[4425, 30381, 34227, 12945, 8985, 36777, 25742, 13216, 4579, 1634]"
207,"[19858, 32136, 23805, 21268, 21973, 36282, 21509, 30798, 21774, 4377]"
208,"[21953, 32281, 9327, 26675, 35289, 20630, 13363, 29768, 27395, 26499]"
209,"[29978, 37626, 6023, 6886, 37151, 10366, 1509, 16229, 14034, 7532]"
210,"[8008, 2996, 10930, 30976, 11819, 2934, 19756, 19857, 16362, 4953]"
211,"[1496, 23307, 7782, 1345, 34107, 33996, 34367, 28126, 36749, 7166]"
212,"[2164, 14019, 14564, 6582, 27685, 36481, 23069, 15215, 25941, 16074]"
213,"[18132, 35201, 16283, 11914, 34096, 37169, 13846, 33731, 33222, 32580]"
214,"[35069, 10067, 19973, 20325, 18353, 29978, 1435, 34703, 29787, 2899]"
215,"[6204, 1345, 23804, 1324, 32233, 28914, 11673, 21981, 1391, 22726]"
216,"[14779, 7826, 31000, 23791, 16073, 33255, 12211, 21617, 32902, 4147]"
217,"[37310, 5359, 31786, 3481, 25137, 10917, 5331, 10954, 33053, 12330]"
218,"[11535, 14513, 5753, 25688, 6441, 27860, 2140, 220, 12754, 27788]"
219,"[15590, 20534, 3612, 21764, 21617, 33813, 19800, 7841, 24297, 1155]"
220,"[32580, 6969, 19725, 13283, 17583, 29464, 11623, 1345, 5887, 16408]"
221,"[1391, 6347, 34843, 26496, 6026, 13717, 30197, 37088, 12455, 37199]"
222,"[20355, 32088, 37400, 14264, 20534, 9871, 28888, 16420, 6389, 33860]"
223,"[17768, 27917, 8545, 8889, 17545, 26640, 1094, 5828, 33996, 33852]"
224,"[15679, 5939, 19343, 6027, 7658, 31743, 34004, 14679, 28776, 4704]"
